ID,Wort (Deutsch),Artikel,Plural,Wortart,Bedeutung (Indonesisch),Niveau,Thema (Netzwerk Neu),Beispielsatz (Deutsch),Beispielsatz (Indonesisch)
"a1-001","Abend","der","die Abende","Nomen","Malam hari (sore menjelang malam)","A1","Kapitel 1: Guten Tag!","Guten Abend, wie geht es Ihnen heute?","Selamat malam, bagaimana kabar Anda hari ini?"
"a1-002","arbeiten","","","Verb","Bekerja","A1","Kapitel 2: Freunde, Kollegen und ich","Ich arbeite als Software-Entwickler in Berlin.","Saya bekerja sebagai pengembang perangkat lunak di Berlin."
"a1-003","Apfel","der","die Äpfel","Nomen","Apel","A1","Kapitel 3: In der Stadt / Essen","Ich esse jeden Morgen einen frischen Apfel.","Saya makan sebuah apel segar setiap pagi."
"a1-004","Bahnhof","der","die Bahnhöfe","Nomen","Stasiun kereta api","A1","Kapitel 4: Guten Appetit / Unterwegs","Entschuldigung, wie komme ich zum Hauptbahnhof?","Permisi, bagaimana cara saya ke stasiun pusat?"
"a1-005","Buch","das","die Bücher","Nomen","Buku","A1","Kapitel 5: Tag für Tag","Dieses Buch hilft mir sehr beim Deutschlernen.","Buku ini sangat membantu saya dalam belajar bahasa Jerman."
"a1-006","bestellen","","","Verb","Memesan","A1","Kapitel 3: Essen und Trinken","Wir möchten gern zwei Kaffee und einen Kuchen bestellen.","Kami ingin memesan dua kopi dan satu kue."
"a1-007","Wohnung","die","die Wohnungen","Nomen","Apartemen / Tempat tinggal","A1","Kapitel 7: Wohnen","Meine neue Wohnung ist hell und hat einen schönen Balkon.","Apartemen baru saya terang dan memiliki balkon yang indah."
"a1-008","frühstücken","","","Verb","Sarapan","A1","Kapitel 5: Tag für Tag","Am Wochenende frühstücke ich gerne gemütlich mit meiner Familie.","Di akhir pekan saya suka sarapan santai bersama keluarga saya."
"a1-009","Flughafen","der","die Flughäfen","Nomen","Bandara","A1","Kapitel 8: Unterwegs","Mein Flugzeug landet um 14 Uhr am Flughafen Frankfurt.","Pesawat saya mendarat pukul 14:00 di Bandara Frankfurt."
"a1-010","Schlüssel","der","die Schlüssel","Nomen","Kunci","A1","Kapitel 6: Zeit mit Freunden","Hast du meinen Schlüssel für die Haustür gesehen?","Apakah kamu melihat kunci pintu rumah saya?"
